Timestamp,What is your gender?,What is your ethnicity?,What academic year are you?,What is your major?,"Student GPA? (If you don't know guestimate, ex. 3.5+)",After COVID did your GPA increase or decrease?,Number of units enrolled? ,Have you attended UCR prior to Spring Quarter 2020?,How do you feel about your progress in academics so far?,How is your school experience this academic year at UCR so far?,What advice would you give to other students that might help them receive a better school experience?,How many research or personal projects have you undertaken this academic school year? (not counting required class projects),How many hours do you spend per week participating in school clubs/organizations?,How many times have you visited office hours this academic year?,How many hours do you spend per week working on homework?,BEFORE COVID: Did you live on-campus or off-campus? ,"With no financial burden, where would you prefer to live?",Where do you plan on living when campus opens? (Assuming things go back to the way it was pre-covid),Do you prefer in-person or remote learning?,"In general, which of the following do you do during your online lectures? (You may select more than one)","On average, what percentage of your online lecture time do you spend playing video games? ","On average, what percentage of your online lecture time do you spend watching digital media  (i.e. Youtube, Netflix, Twitch, etc.)? ","On average, what percentage of your online lecture time do you spend on social media (i.e. Instagram, Facebook, TikTok, etc.)? ","What other activities, besides the ones mentioned above, are you doing during the duration of your lecture that is unrelated to the lecture (sleep, eat, work from another class, chores, etc.)?","In general, what is your attendance rate for your online lectures, including pre-recorded lectures?","If you missed something from the lecture, which of the following do you do?",How likely are you to respond to notifications you receive during your online lecture?,"In general, how would you rate your online learning experience?","If you could change one thing about online learning, what would it be?","What TIME do you go to bed, on average? (10pm, 1am, 5am, etc)",Average hours of sleep per night?,"STUDY SCHEDULE: What time to what time do you spend on school? (classes + homework) (Ex: 9am - 6pm, 10pm-12am, etc.)","GAMING/SOCIAL MEDIA SCHEDULE: What time to what time do you spend on gaming or social media? (this includes YouTube) (Ex: 8pm-10pm, 12am-3am, etc.)",Roughly how much time in hours is spent on school in total? (classes and homework) PRIOR SPRING QUARTER 2020,Roughly how much time in hours is spent on school in total? (classes and homework) DURING/AFTER SPRING QUARTER 2020,Roughly how much time is spent on gaming or social media per day? (this includes YouTube) ,Do you own a pet?,"If you own a pet, how many do you own?","If you do own a pet, what pet(s) do you own?",What type(s) of meat do you eat?,"If you DON'T eat at least one type of meat, why?",Have any of the following happened as a result of quarantine?,Were you diagnosed with depression before Spring Quarter 2020?,Were you diagnosed with depression after Spring Quarter 2020?,If you did have depression has it gotten worse over quarantine?,How often did you do physical activity outdoors DURING the pandemic?,How often did you do physical activity outdoors BEFORE the pandemic?,How likely you to go hiking or biking  BEFORE the pandemic?,How likely you to go hiking or biking DURING the pandemic?,How often you visited the gym before the pandemic?,Have you looked for new activities since the start of the pandemic?,Has your junk food consumption change? ,Did you have a job before the pandemic?,Do you have a job during the pandemic?,Which streaming services were you subscribed to before the pandemic?,Approximately how much have you spent on streaming services per month before the pandemic?,Did you personally pay for the whole subscription?,"If you did pay for the whole subscription, for which streaming services did you pay for (before the pandemic)?  If you did not pay for any services at all, please answer with ""None"".",Which streaming services are you subscribed to now?,Approximately how much have you spent on streaming services per month during the pandemic?,D0 you personally pay for the whole subscription?,"If you did pay for the whole subscription, for which streaming services did you pay for (after the pandemic)? If you did not pay for any services at all, please answer with ""None"".","Have you started watching more Netflix, Hulu, Disney+, etc.?"
1/30/2021 14:22:56,Male,Asian,Sophomore,Computer Science,3.7 - 4.0,Increase,17,Yes,3,It wasn't very good,get started on your homework EARLY. find good friends to do homework early together or find some sort of motivation.,1,3,4,10,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture),"Answer polls/questions (when mandatory for participation credit), Answer questions (when not mandatory, in chat), Ask questions (in chat)",1,1,1,Sometimes eat lunch/dinner,4,Neither,4,2,More communication and availability of professors,12am,7,1pm to 9pm,9am to 12pm,5,6,4,No,0,I still don't own a pet!,"Red Meat, Poultry, Seafood","I, in fact, DO eat all types of meat!",Moved back in with parents,No,No,No,1 to 3 times a week,3 to 5 times a week,1,1,1-2 times a week,No,Unchanged,No,No,None,I did not own any subscriptions,"No, I use a family member's account",None,None,I do not own any subscriptions.,No,None,1
1/30/2021 14:29:09,Male,White,Senior/Senior+,Computer Engineering,3.7 - 4.0,Decrease,12,No,3,It wasn't very good,"Stay focused, budget your time, and make time for yourself to relax",0,0,4,20-30,Off-campus Apartments,Off-campus,Off - Campus Apartment,Combined (Online + on-campus),"Answer polls/questions (when mandatory for participation credit), Answer questions (when not mandatory, in chat), Ask questions (in chat), Take notes",1,2,2,eat meals,4,I actually watch the recorded lectures,3,2,All lectures be synchronous. Recorded lectures allow for not interaction and questions without attending office hours. And online lectures often are abused to use more than scheduled time,1230am,6,10am-8pm(or later),,10,15,3 hrs,Yes,1,Cat,"Red Meat, Poultry, Seafood","I, in fact, DO eat all types of meat!",Lack of support system,Yes,No,Yes,none,none,2,1,5-7 times a week,Yes,Gotten worse,No,No,"Netflix, Hulu",$21 to $30,"Yes, I paid for the whole subscription","Netflix, Hulu","Netflix, Hulu, Disney+",$31+,"No, I use a family member's account","Netflix, Hulu",5
1/30/2021 16:50:49,Male,Asian,Sophomore,CS,3.7 - 4.0,Decrease,13,Yes,2,It was okay,"Always be ahead, go to office hours, and have a study group. ",0,0,15+,10+,UCR Dorms,Off-campus,On Campus Apartment,Combined (Online + on-campus),"Answer polls/questions (when mandatory for participation credit), Answer questions (when not mandatory, in chat), Ask questions (in chat), Ask questions (verbally), Take notes",1,1,1,organize and update my schedule / agenda,5,Both,3,3,Not too big of an issue but its a bit more challenging to write notes and understand / process the material when everything is on a slide. ,2 am,5,8 am - 2 am,6 pm - 6:30 pm,8,11,0 -1 hour max,Yes,1,Dog,"Red Meat, Poultry, Seafood","I, in fact, DO eat all types of meat!",Moved back in with parents,No,No,No,none,1 to 3 times a week,2,1,1-2 times a week,No,Gotten worse,No,No,None,I did not own any subscriptions,d,none,None,I do not own any subscriptions.,no subscriptions,none,1
1/30/2021 18:42:30,Male,Asian,Sophomore,CS,3.7 - 4.0,Increase,18,Yes,4,It was okay,go to more club meetings and make friends,3-4,0,2,10,UCR Dorms,Off-campus,Off - Campus Apartment,Combined (Online + on-campus),"Answer polls/questions (when mandatory for participation credit), Take notes",1,1,2,do homework,2,I actually watch the recorded lectures,5,2,"nothing, it sucks",12am,7,9am-12am,9am-12am,5,5,5,Yes,2,Cat,"Red Meat, Poultry, Seafood","I, in fact, DO eat all types of meat!",Moved back in with parents,No,No,No,1 to 3 times a week,5 to 7 times a week,5,5,1-2 times a week,No,Gotten worse,No,Yes,None,I did not own any subscriptions,n/a,None,None,I do not own any subscriptions.,n/a,None,1
1/30/2021 22:55:05,Male,Middle Eastern,Sophomore,Computer Science w/ Business Applications,3.7 - 4.0,Same,18,Yes,5,I enjoyed it but it could have been better,Get involved in clubs that match your interests.,1,7,6,10,UCR Dorms,On-campus,On Campus Apartment,Combined (Online + on-campus),"Answer polls/questions (when mandatory for participation credit), Answer questions (when not mandatory, in chat), Ask questions (in chat), Ask questions (verbally), Take notes",1,2,1,eat,5,Both,3,5,Having more interactions with my peers through group projects/assignments,1am,7,9am -6pm,6pm - 10pm,200,200,4,No,0,I still don't own a pet!,"Red Meat, Seafood","I, in fact, DO eat all types of meat!",Moved back in with parents,No,No,No,none,3 to 5 times a week,4,2,1-2 times a week,Yes,Unchanged,No,No,"Netflix, HBO Max, Disney+",$10 or less,"No, I use a family member's account",None,"Netflix, Hulu, HBO Max, Disney+",$10 or less,"No, I split the cost with someone",Hulu,yes
1/30/2021 23:37:40,Male,Asian,Sophomore,Computer Science,3.7 - 4.0,Decrease,14,Yes,3,It wasn't very good,"Do club activities, any extracurriculars even not pertaining to your major, take care of yourself",1,6,2,12,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture),"Answer polls/questions (when mandatory for participation credit), Answer questions (when not mandatory, in chat), Ask questions (in chat), Take notes",2,2,2,eat,5,Neither,4,3,"more engaging, yet not as time-intensive homework",3am,6,8pm-1am,1am-3am,300,200,2 hours,No,0,I still don't own a pet!,"Red Meat, Poultry, Seafood","I, in fact, DO eat all types of meat!","Moved back in with parents, Lack of support system",No,No,No,1 to 3 times a week,5 to 7 times a week,1,1,5-7 times a week,Yes,Gotten worse,No,No,None,I did not own any subscriptions,did not own subscriptions,None,None,I do not own any subscriptions.,none,None,Yes
1/31/2021 0:27:53,Male,Hispanic or Latino or Spanish Origin,Junior,Computer Eng.,3.0 - 3.29,Same,12,Yes,4,I enjoyed it but it could have been better,Don't fall behind on the lectures or assignments. try to complete assignments the day before the due dat.,0,0,4,28+,with parents,Off-campus,with parents,Combined (Online + on-campus),"Answer polls/questions (when mandatory for participation credit), Answer questions (when not mandatory, in chat), Ask questions (in chat), Ask questions (verbally), Take notes",1,1,2,none,5,I tell myself that I will watch the recorded lectures,3,3,Make all professors use the same site. there is like 20 different links for 3 classes.,1am,7,mon-friday (8am - 6pm)  when I have a test the following week i spend the weekend studying. ,I play video games on the weekend if i have free time.,20,30,5,No,0,I still don't own a pet!,"Red Meat, Seafood","I, in fact, DO eat all types of meat!",None of the above,No,No,No,none,1 to 3 times a week,3,1,1-2 times a week,No,Gotten worse,Yes,Yes,Crunchyroll,$10 or less,"Yes, I paid for the whole subscription",CrunchyRoll,Crunchyroll,$10 or less,"Yes, I pay for the whole subscription",CrunchyRoll,no
1/31/2021 2:34:28,Male,Asian,Sophomore,CSBA,3.7 - 4.0,Same,17,Yes,3,It wasn't very good,"get involved, no one one gets to places alone ","undertaken (2-3), any that got past any real work done on it to show for it (0)",0,1,21-28 (actually varies for each week),"off-campus, Parents house",On-campus,"off-campus, Parents house",Combined (Online + on-campus),"Answer polls/questions (when mandatory for participation credit), Turn on your camera (when not mandatory)",3,1,1,N/A,5,I actually watch the recorded lectures,5,3,my environment,2AM,6,9pm - 3am,2pm - 6pm | 8pm - 2am,5,4,12,Yes,1,Turtle,"Red Meat, Poultry, Seafood","I, in fact, DO eat all types of meat!",Lack of support system,No,No,Yes,1 to 3 times a week,3 to 5 times a week,1,2,0-1 times a week,Yes,Unchanged,Yes,No,Netflix,I did not own any subscriptions,"No, I use a family member's account",None,Netflix,I do not own any subscriptions.,"No, I use a family member's account",None,no
1/31/2021 12:35:49,Male,Asian,Junior,Computer Science,3.7 - 4.0,Increase,13,Yes,3,It was okay,"Talk to classmates, join any Slack/Discord channels your class might have, and don't overwork yourself!",0,0,5,22,I lived at home,Off-campus,Off - Campus Apartment,Combined (Online + on-campus),"Answer polls/questions (when mandatory for participation credit), Ask questions (in chat), Take notes",1,1,2,Eat,5,I tell myself that I will watch the recorded lectures,5,4,"Make lectures more interactive, such as utilizing breakout rooms for discussions",,8,10am - 9pm,10pm - 1am,25,20,3 hours,Yes,1,Dog,"Red Meat, Poultry, Seafood","I, in fact, DO eat all types of meat!",Lost a job,Yes,No,Yes,3 to 5 times a week,none,3,1,0-1 times a week,Yes,Gotten worse,Yes,No,"Netflix, Hulu",$21 to $30,"No, I use a family member's account",None,"Netflix, Hulu, HBO Max",$31+,"No, I use a family member's account",None,Yes
1/31/2021 12:36:14,Prefer not to say,Asian,Sophomore,computer science,3.3 - 3.69,Decrease,14,Yes,1,It wasn't very good,make friends to study with and attend lectures no matter how boring.,0,1,3,20,UCR Dorms,Off-campus,Off - Campus Apartment,Combined (Online + on-campus),"Answer polls/questions (when mandatory for participation credit), Take notes",1,4,1,homework from another class,2,Neither,2,2,make lectures a little more engaging,1am,7,3pm-12pm,9am-3pm,20,30,4,No,0,I still don't own a pet!,Seafood,Health,"Moved back in with parents, None of the above",No,No,No,5 to 7 times a week,1 to 3 times a week,3,4,0-1 times a week,Yes,Improved,No,No,None,I did not own any subscriptions,no subscription,None,None,I do not own any subscriptions.,no subscription,none,no
1/31/2021 14:01:28,Male,Hispanic or Latino or Spanish Origin,Junior,Computer engineering,3.3 - 3.69,Increase,18,Yes,5,I enjoyed it but it could have been better,"Look up the course material for classes your taking in the next quarter, and study for them during your winter/spring/summer break.",1,4,4,15,UCR Dorms,On-campus,UCR Dorms,In-person (on-campus lecture),"Answer polls/questions (when mandatory for participation credit), Turn on your camera (when not mandatory), Answer questions (when not mandatory, in chat), Answer questions (when not mandatory, verbally), Ask questions (in chat), Ask questions (verbally), Take notes",2,1,2,eat,5,I actually watch the recorded lectures,2,4,Definitely more leniency on exams.,12:30am,9+,11am-11pm,6pm-8pm,9,12,2,No,0,I still don't own a pet!,Poultry,Personal Preference,"Lost a job, Moved back in with parents",No,No,No,1 to 3 times a week,1 to 3 times a week,3,4,1-2 times a week,Yes,Unchanged,Yes,No,"Netflix, Disney+",$21 to $30,"No, I use a family member's account",None,"Netflix, Disney+",$11 to $20,"No, I use a family member's account",None,Yes
1/31/2021 16:52:37,Male,Asian,Junior,Computer Science,3.3 - 3.69,Same,16,No,4,I love it / I had a great time,Study groups.,3,0,7,10,Parents,Off-campus,Off - Campus Apartment,Remote-learning (Online instruction),"Answer polls/questions (when mandatory for participation credit), Turn on your camera (when not mandatory), Answer questions (when not mandatory, in chat), Answer questions (when not mandatory, verbally), Ask questions (in chat), Ask questions (verbally), Take notes",1,1,1,Eat,4,Both,3,5,"Nothing, the school did a good job with what little they had. ",12:00 AM,8,All day,"not much, social media is bad for you. Get friends instead.",10000000000,10000000000000,100000000000000,No,0,Dog,"Red Meat, Poultry, Seafood",pork is gross in chuncks.,"Missed rent, Lack of support system",No,No,No,3 to 5 times a week,1 to 3 times a week,5,1,3-5 times a week,Yes,Improved,Yes,No,Netflix,$10 or less,"No, I use a family member's account",None,"HBO Max, Amazon Prime",$21 to $30,"No, I use a family member's account",None,"No, my little brother does."
1/31/2021 22:00:06,Male,Asian,Sophomore,Computer Science,3.7 - 4.0,Same,14,Yes,2,It was okay,Try to give yourself some free time and balance your studying so you can keep up with the workload and not go insane at the same time.,1,0,7,6,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture),"Answer polls/questions (when mandatory for participation credit), Answer questions (when not mandatory, in chat), Ask questions (in chat), Take notes",1,2,2,Using the restroom.,5,Both,5,3,Easier please!,1 am,9+,5 pm - 1 am,8pm  - 10 pm (study break),10,8,6,Yes,4,Dog,"Red Meat, Poultry, Seafood","I, in fact, DO eat all types of meat!",Moved back in with parents,No,Yes,Yes,1 to 3 times a week,5 to 7 times a week,4,1,3-5 times a week,Yes,Gotten worse,No,No,"Netflix, Hulu",$21 to $30,"No, I use a family member's account",Hulu,"Netflix, Hulu",$21 to $30,"No, I use a family member's account",Paid for Hulu (comes with Spotify),Yes
1/31/2021 22:01:29,Male,Black or African American,Junior,Computer Science,2.7 - 2.99,Decrease,13,No,2,It was okay,Don’t fall behind in classes,1,2,2-3,9-10,Didn’t attend UCR,Off-campus,Off - Campus Apartment,Combined (Online + on-campus),Answer polls/questions (when mandatory for participation credit),3,2,4,Other class work,2,Both,5,3,More engaging content,12,8,9AM- 3PM,9AM - 3PM,10,9,9-10,No,0,I still don't own a pet!,"Red Meat, Poultry, Seafood","I, in fact, DO eat all types of meat!",None of the above,No,No,No,1 to 3 times a week,3 to 5 times a week,2,1,3-5 times a week,Yes,Gotten worse,No,Yes,"Netflix, Amazon prime",$11 to $20,Combination of C and A,Amazon Video,Netflix,$11 to $20,"Yes, I pay for the whole subscription","Netflix, Amazon Video",Major Yes
2/1/2021 8:58:55,Female,middle eastern ,Sophomore,CSBA,3.0 - 3.29,Decrease,18,Yes,3,It wasn't very good,"make friends in classes, form study groups",0,2,5+,9,at home,Off-campus,at home,In-person (on-campus lecture),"Answer polls/questions (when mandatory for participation credit), Turn on your camera (when not mandatory), Answer questions (when not mandatory, in chat), Answer questions (when not mandatory, verbally), Ask questions (in chat), Ask questions (verbally), Take notes",1,1,3,eat,4,Both,4,3,trying to make it more interactive,1am,6,9am - 7pm,8pm - 10pm,50,45,3 hours,Yes,1,Cat,"Red Meat, Poultry, Seafood","I, in fact, DO eat all types of meat!",Lack of support system,No,No,Yes,1 to 3 times a week,3 to 5 times a week,3,1,0-1 times a week,Yes,Gotten worse,Yes,Yes,"Netflix, Hulu",$11 to $20,"Yes, I paid for the whole subscription","hulu, netflix","Netflix, Hulu",$11 to $20,"Yes, I pay for the whole subscription","hulu, netlike",yes
